key,moment,title,body,flag,optionalLink
announcement-01,2000/01/01 00:00,New announcement,This is the newest announcement in the system.,true,null
announcement-02,2022/01/22 00:00,New announcement2,The system's been restarted after updating it.,true,null
announcement-03,2022/01/22 00:10,New announcement3,We're sorry. The update didn't work well.,false,http://www.us.es
announcement-04,2022/01/22 09:00,New announcement4,You may now benefit from our great volume discount!,true,http://www.acme-jobs.com/discount
announcement-05,2022/01/02 12:00,New announcement5,The system's gone through extensive testing and it works pretty well.,true,null
announcement-06,1970/09/07 22:30,My father's bith,This message was published long ago on the creator's birthday.,true,https://www.kidscanfly.ca/wp-content/uploads/2020/08/happy-birthday.jpeg
announcement-07,2012/01/01 00:00,New announcement 6,This message celebrates the framework bithday,false,https://www.acme.org
announcement-08,2012/01/01 00:00,Announcement to check critical,This Announcement is to check critical true,true,https://www.acme.org
announcement-09,2012/01/01 00:00,Announcement to check critical,This Announcement is to check critical true and moreInfo null,true,null
announcement-10,2012/01/01 00:00,Announcement to check critical,This Announcement is to check critical false,false,https://www.acme.org
announcement-11,2012/01/01 00:00,Announcement to check critical,This Announcement is to check critical false and moreInfo null,false,null
announcementchinese-12,2012/01/01 00:00,着一家如,度等合大 大度,false,null
announcementarabic-13,2013/12/30 00:00,مرحبا يوم,arabic-example,false,null
announcementscript-14,2013/12/30 00:00,<script>alert</script>,script-example in title,false,null
announcementscript-15,2013/12/30 00:00,script-example in body,<script>alert</script>,false,null
announcement-15,2012/12/31 00:00,Announcement to check the year,This Announcement is to check the year is correct,false,null
announcement-16,2008/02/29 18:17,Announcement to check leap year,This Announcement is to check date is correct,false,null
announcement-17,2002/02/15 09:17,Check max lenghttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttt,This Announcement is to check max length is correct,false,null
announcement-18,2002/02/15 09:17,This Announcement is to check max length in body is correct,Check max lenghttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttt,false,null
announcement-20,1816/02/15 09:17,This Announcement is to check min length in body is correct,C,false,null
announcement-21,1450/02/15 09:17,T,This Announcement is to check min length in title is correct,false,null
announcement-22,1450/02/15 09:17,Check hotmail,This Announcement is to check email is correct,false,null
announcement-23,2009/02/15 22:17,Check outlook,This Announcement is to check email is correct,false,null
announcement-24,2006/06/17 16:09,Check University email,This Announcement is to check email is correct,false,null
announcement-25,2022/04/18 16:09,Must List,This Announcement should be listed,true,https://www.acme.org
announcement-26,2022/04/17 12:09,Must List,This Announcement should be listed,false,null
